Date/Time,Vent Temperature,Ambient Temperature,Temperature Difference,Vent Position,Column5,Column6,Column7,Power Output (W),kWh Output,kWh Total
Thu Feb  2 10:26:03 2017,33.562,-0.437,33.999,TRUE,1797.697,0.471,,1797.697,0.471,0
Thu Feb  2 10:26:06 2017,33.562,-0.437,33.999,TRUE,1797.697,0.472,,1797.697,0.472,0
Thu Feb  2 10:26:09 2017,33.562,-0.437,33.999,TRUE,1797.697,0.472,,1797.697,0.472,0
Thu Feb  2 10:26:11 2017,33.562,-0.437,33.999,TRUE,1797.697,0.472,,1797.697,0.472,0
Thu Feb  2 10:26:14 2017,33.562,-0.437,33.999,TRUE,1797.697,0.472,,1797.697,0.472,0
Thu Feb  2 10:26:17 2017,33.562,-0.437,33.999,TRUE,1797.697,0.473,,1797.697,0.473,0
Thu Feb  2 10:26:20 2017,33.562,-0.5,34.062,TRUE,1801.028,0.473,,1801.028,0.473,0
Thu Feb  2 10:26:22 2017,33.562,-0.5,34.062,TRUE,1801.028,0.473,,1801.028,0.473,0
Thu Feb  2 10:26:25 2017,33.562,-0.5,34.062,TRUE,1801.028,0.474,,1801.028,0.474,0
Thu Feb  2 10:26:28 2017,33.625,-0.5,34.125,TRUE,1804.359,0.474,,1804.359,0.474,0
Thu Feb  2 10:26:31 2017,33.625,-0.437,34.062,TRUE,1801.028,0.474,,1801.028,0.474,0
Thu Feb  2 10:26:33 2017,33.625,-0.437,34.062,TRUE,1801.028,0.474,,1801.028,0.474,0
Thu Feb  2 10:26:36 2017,33.625,-0.437,34.062,TRUE,1801.028,0.475,,1801.028,0.475,0
Thu Feb  2 10:26:39 2017,33.625,-0.437,34.062,TRUE,1801.028,0.475,,1801.028,0.475,0
Thu Feb  2 10:26:42 2017,33.625,-0.437,34.062,TRUE,1801.028,0.475,,1801.028,0.475,0
Thu Feb  2 10:26:45 2017,33.625,-0.5,34.125,TRUE,1804.359,0.476,,1804.359,0.476,0
Thu Feb  2 10:26:47 2017,33.625,-0.437,34.062,TRUE,1801.028,0.476,,1801.028,0.476,0
Thu Feb  2 10:26:50 2017,33.687,-0.437,34.124,TRUE,1804.306,0.476,,1804.306,0.476,0
Thu Feb  2 10:26:53 2017,33.625,-0.437,34.062,TRUE,1801.028,0.477,,1801.028,0.477,0
Thu Feb  2 10:26:56 2017,33.687,-0.437,34.124,TRUE,1804.306,0.477,,1804.306,0.477,0
Thu Feb  2 10:26:58 2017,33.625,-0.437,34.062,TRUE,1801.028,0.477,,1801.028,0.477,0
Thu Feb  2 10:27:01 2017,33.687,-0.437,34.124,TRUE,1804.306,0.477,,1804.306,0.477,0
Thu Feb  2 10:27:04 2017,33.625,-0.437,34.062,TRUE,1801.028,0.478,,1801.028,0.478,0
Thu Feb  2 10:27:07 2017,33.625,-0.437,34.062,TRUE,1801.028,0.478,,1801.028,0.478,0
Thu Feb  2 10:27:09 2017,33.625,-0.437,34.062,TRUE,1801.028,0.478,,1801.028,0.478,0
Thu Feb  2 10:27:12 2017,33.625,-0.437,34.062,TRUE,1801.028,0.479,,1801.028,0.479,0
Thu Feb  2 10:27:15 2017,33.625,-0.375,34,TRUE,1797.75,0.479,,1797.75,0.479,0
Thu Feb  2 10:27:18 2017,33.625,-0.375,34,TRUE,1797.75,0.479,,1797.75,0.479,0
Thu Feb  2 10:27:21 2017,33.625,-0.437,34.062,TRUE,1801.028,0.48,,1801.028,0.48,0
Thu Feb  2 10:27:23 2017,33.562,-0.437,33.999,TRUE,1797.697,0.48,,1797.697,0.48,0
Thu Feb  2 10:27:26 2017,33.625,-0.437,34.062,TRUE,1801.028,0.48,,1801.028,0.48,0
Thu Feb  2 10:27:29 2017,33.625,-0.437,34.062,TRUE,1801.028,0.48,,1801.028,0.48,0
Thu Feb  2 10:27:32 2017,33.625,-0.437,34.062,TRUE,1801.028,0.481,,1801.028,0.481,0
Thu Feb  2 10:27:34 2017,33.625,-0.437,34.062,TRUE,1801.028,0.481,,1801.028,0.481,0
Thu Feb  2 10:27:37 2017,33.625,-0.437,34.062,TRUE,1801.028,0.481,,1801.028,0.481,0
Thu Feb  2 10:27:40 2017,33.562,-0.437,33.999,TRUE,1797.697,0.482,,1797.697,0.482,0
Thu Feb  2 10:27:43 2017,33.625,-0.437,34.062,TRUE,1801.028,0.482,,1801.028,0.482,0
Thu Feb  2 10:27:46 2017,33.625,-0.437,34.062,TRUE,1801.028,0.482,,1801.028,0.482,0
Thu Feb  2 10:27:48 2017,33.562,-0.5,34.062,TRUE,1801.028,0.483,,1801.028,0.483,0
Thu Feb  2 10:27:51 2017,33.625,-0.437,34.062,TRUE,1801.028,0.483,,1801.028,0.483,0
Thu Feb  2 10:27:54 2017,33.625,-0.5,34.125,TRUE,1804.359,0.483,,1804.359,0.483,0
Thu Feb  2 10:27:57 2017,33.625,-0.5,34.125,TRUE,1804.359,0.483,,1804.359,0.483,0
Thu Feb  2 10:27:59 2017,33.625,-0.5,34.125,TRUE,1804.359,0.484,,1804.359,0.484,0
Thu Feb  2 10:28:02 2017,33.625,-0.5,34.125,TRUE,1804.359,0.484,,1804.359,0.484,0
Thu Feb  2 10:28:05 2017,33.625,-0.5,34.125,TRUE,1804.359,0.484,,1804.359,0.484,0
Thu Feb  2 10:28:08 2017,33.625,-0.5,34.125,TRUE,1804.359,0.485,,1804.359,0.485,0
Thu Feb  2 10:28:11 2017,33.625,-0.5,34.125,TRUE,1804.359,0.485,,1804.359,0.485,0
Thu Feb  2 10:28:14 2017,33.625,-0.5,34.125,TRUE,1804.359,0.485,,1804.359,0.485,0
Thu Feb  2 10:28:17 2017,33.625,-0.5,34.125,TRUE,1804.359,0.485,,1804.359,0.485,0
Thu Feb  2 10:28:20 2017,33.687,-0.5,34.187,TRUE,1807.638,0.486,,1807.638,0.486,0
Thu Feb  2 10:28:22 2017,33.625,-0.5,34.125,TRUE,1804.359,0.486,,1804.359,0.486,0
Thu Feb  2 10:28:25 2017,33.687,-0.5,34.187,TRUE,1807.638,0.486,,1807.638,0.486,0
Thu Feb  2 10:28:28 2017,33.687,-0.437,34.124,TRUE,1804.306,0.487,,1804.306,0.487,0
Thu Feb  2 10:28:31 2017,33.687,-0.5,34.187,TRUE,1807.638,0.487,,1807.638,0.487,0
Thu Feb  2 10:28:33 2017,33.687,-0.437,34.124,TRUE,1804.306,0.487,,1804.306,0.487,0
Thu Feb  2 10:28:36 2017,33.687,-0.437,34.124,TRUE,1804.306,0.488,,1804.306,0.488,0
Thu Feb  2 10:28:39 2017,33.687,-0.437,34.124,TRUE,1804.306,0.488,,1804.306,0.488,0
Thu Feb  2 10:28:42 2017,33.687,-0.437,34.124,TRUE,1804.306,0.488,,1804.306,0.488,0
Thu Feb  2 10:28:45 2017,33.687,-0.437,34.124,TRUE,1804.306,0.488,,1804.306,0.488,0
Thu Feb  2 10:28:47 2017,33.75,-0.437,34.187,TRUE,1807.638,0.489,,1807.638,0.489,0
Thu Feb  2 10:28:50 2017,33.687,-0.437,34.124,TRUE,1804.306,0.489,,1804.306,0.489,0
Thu Feb  2 10:28:53 2017,33.75,-0.437,34.187,TRUE,1807.638,0.489,,1807.638,0.489,0
Thu Feb  2 10:28:56 2017,33.75,-0.437,34.187,TRUE,1807.638,0.49,,1807.638,0.49,0
Thu Feb  2 10:28:58 2017,33.75,-0.437,34.187,TRUE,1807.638,0.49,,1807.638,0.49,0
Thu Feb  2 10:29:01 2017,33.75,-0.437,34.187,TRUE,1807.638,0.49,,1807.638,0.49,0
Thu Feb  2 10:29:04 2017,33.75,-0.437,34.187,TRUE,1807.638,0.491,,1807.638,0.491,0
Thu Feb  2 10:29:07 2017,33.75,-0.375,34.125,TRUE,1804.359,0.491,,1804.359,0.491,0
Thu Feb  2 10:29:10 2017,33.812,-0.437,34.249,TRUE,1810.916,0.491,,1810.916,0.491,0
Thu Feb  2 10:29:12 2017,33.812,-0.375,34.187,TRUE,1807.638,0.491,,1807.638,0.491,0
Thu Feb  2 10:29:15 2017,33.812,-0.375,34.187,TRUE,1807.638,0.492,,1807.638,0.492,0
Thu Feb  2 10:29:18 2017,33.812,-0.375,34.187,TRUE,1807.638,0.492,,1807.638,0.492,0
Thu Feb  2 10:29:21 2017,33.812,-0.375,34.187,TRUE,1807.638,0.492,,1807.638,0.492,0
Thu Feb  2 10:29:23 2017,33.812,-0.375,34.187,TRUE,1807.638,0.493,,1807.638,0.493,0
Thu Feb  2 10:29:26 2017,33.812,-0.312,34.124,TRUE,1804.306,0.493,,1804.306,0.493,0
Thu Feb  2 10:29:29 2017,33.812,-0.312,34.124,TRUE,1804.306,0.493,,1804.306,0.493,0
Thu Feb  2 10:29:32 2017,33.875,-0.312,34.187,TRUE,1807.638,0.494,,1807.638,0.494,0
Thu Feb  2 10:29:34 2017,33.875,-0.312,34.187,TRUE,1807.638,0.494,,1807.638,0.494,0
Thu Feb  2 10:29:37 2017,33.875,-0.312,34.187,TRUE,1807.638,0.494,,1807.638,0.494,0
Thu Feb  2 10:29:40 2017,33.875,-0.312,34.187,TRUE,1807.638,0.494,,1807.638,0.494,0
Thu Feb  2 10:29:43 2017,33.875,-0.312,34.187,TRUE,1807.638,0.495,,1807.638,0.495,0
Thu Feb  2 10:29:46 2017,33.875,-0.312,34.187,TRUE,1807.638,0.495,,1807.638,0.495,0
Thu Feb  2 10:29:48 2017,33.875,-0.312,34.187,TRUE,1807.638,0.495,,1807.638,0.495,0
Thu Feb  2 10:29:51 2017,33.875,-0.312,34.187,TRUE,1807.638,0.496,,1807.638,0.496,0
Thu Feb  2 10:29:54 2017,33.875,-0.312,34.187,TRUE,1807.638,0.496,,1807.638,0.496,0
Thu Feb  2 10:29:57 2017,33.937,-0.312,34.249,TRUE,1810.916,0.496,,1810.916,0.496,0
Thu Feb  2 10:29:59 2017,33.937,-0.312,34.249,TRUE,1810.916,0.497,,1810.916,0.497,0
Thu Feb  2 10:30:02 2017,33.937,-0.375,34.312,TRUE,1814.247,0.497,,1814.247,0.497,0
Thu Feb  2 10:30:05 2017,33.937,-0.375,34.312,TRUE,1814.247,0.497,,1814.247,0.497,0
Thu Feb  2 10:30:08 2017,33.937,-0.375,34.312,TRUE,1814.247,0.497,,1814.247,0.497,0
Thu Feb  2 10:30:11 2017,33.937,-0.375,34.312,TRUE,1814.247,0.498,,1814.247,0.498,0
Thu Feb  2 10:30:14 2017,33.937,-0.437,34.374,TRUE,1817.525,0.498,,1817.525,0.498,0
Thu Feb  2 10:30:17 2017,34,-0.437,34.437,TRUE,1820.856,0.498,,1820.856,0.498,0
Thu Feb  2 10:30:20 2017,33.937,-0.437,34.374,TRUE,1817.525,0.499,,1817.525,0.499,0
Thu Feb  2 10:30:22 2017,33.937,-0.437,34.374,TRUE,1817.525,0.499,,1817.525,0.499,0
Thu Feb  2 10:30:25 2017,33.937,-0.437,34.374,TRUE,1817.525,0.499,,1817.525,0.499,0
Thu Feb  2 10:30:28 2017,33.937,-0.437,34.374,TRUE,1817.525,0.5,,1817.525,0.5,0
Thu Feb  2 10:30:31 2017,33.937,-0.437,34.374,TRUE,1817.525,0.5,,1817.525,0.5,0
Thu Feb  2 10:30:33 2017,33.937,-0.437,34.374,TRUE,1817.525,0.5,,1817.525,0.5,0
Thu Feb  2 10:30:36 2017,33.937,-0.437,34.374,TRUE,1817.525,0.5,,1817.525,0.5,0
Thu Feb  2 10:30:39 2017,33.937,-0.437,34.374,TRUE,1817.525,0.501,,1817.525,0.501,0
Thu Feb  2 10:30:42 2017,33.937,-0.437,34.374,TRUE,1817.525,0.501,,1817.525,0.501,0
Thu Feb  2 10:30:45 2017,33.937,-0.437,34.374,TRUE,1817.525,0.501,,1817.525,0.501,0
Thu Feb  2 10:30:47 2017,33.937,-0.437,34.374,TRUE,1817.525,0.502,,1817.525,0.502,0
Thu Feb  2 10:30:50 2017,33.875,-0.5,34.375,TRUE,1817.578,0.502,,1817.578,0.502,0
Thu Feb  2 10:30:53 2017,33.937,-0.437,34.374,TRUE,1817.525,0.502,,1817.525,0.502,0
Thu Feb  2 10:30:56 2017,33.875,-0.437,34.312,TRUE,1814.247,0.503,,1814.247,0.503,0
Thu Feb  2 10:30:58 2017,33.875,-0.5,34.375,TRUE,1817.578,0.503,,1817.578,0.503,0
Thu Feb  2 10:31:01 2017,33.937,-0.437,34.374,TRUE,1817.525,0.503,,1817.525,0.503,0
Thu Feb  2 10:31:04 2017,33.937,-0.5,34.437,TRUE,1820.856,0.504,,1820.856,0.504,0
Thu Feb  2 10:31:07 2017,33.937,-0.437,34.374,TRUE,1817.525,0.504,,1817.525,0.504,0
Thu Feb  2 10:31:10 2017,33.937,-0.437,34.374,TRUE,1817.525,0.504,,1817.525,0.504,0
Thu Feb  2 10:31:12 2017,33.937,-0.5,34.437,TRUE,1820.856,0.504,,1820.856,0.504,0
Thu Feb  2 10:31:15 2017,33.937,-0.5,34.437,TRUE,1820.856,0.505,,1820.856,0.505,0
Thu Feb  2 10:31:18 2017,33.937,-0.5,34.437,TRUE,1820.856,0.505,,1820.856,0.505,0
Thu Feb  2 10:31:21 2017,33.937,-0.5,34.437,TRUE,1820.856,0.505,,1820.856,0.505,0
Thu Feb  2 10:31:23 2017,33.937,-0.5,34.437,TRUE,1820.856,0.506,,1820.856,0.506,0
Thu Feb  2 10:31:26 2017,33.937,-0.5,34.437,TRUE,1820.856,0.506,,1820.856,0.506,0
Thu Feb  2 10:31:29 2017,33.937,-0.5,34.437,TRUE,1820.856,0.506,,1820.856,0.506,0
Thu Feb  2 10:31:32 2017,33.937,-0.5,34.437,TRUE,1820.856,0.507,,1820.856,0.507,0
Thu Feb  2 10:31:34 2017,33.875,-0.5,34.375,TRUE,1817.578,0.507,,1817.578,0.507,0
Thu Feb  2 10:31:37 2017,33.812,-0.5,34.312,TRUE,1814.247,0.507,,1814.247,0.507,0
Thu Feb  2 10:31:40 2017,33.812,-0.5,34.312,TRUE,1814.247,0.507,,1814.247,0.507,0
Thu Feb  2 10:31:43 2017,33.687,-0.562,34.249,TRUE,1810.916,0.508,,1810.916,0.508,0
Thu Feb  2 10:31:46 2017,33.625,-0.5,34.125,TRUE,1804.359,0.508,,1804.359,0.508,0
Thu Feb  2 10:31:48 2017,33.625,-0.5,34.125,TRUE,1804.359,0.508,,1804.359,0.508,0
Thu Feb  2 10:31:51 2017,33.5,-0.5,34,TRUE,1797.75,0.509,,1797.75,0.509,0
Thu Feb  2 10:31:54 2017,33.437,-0.5,33.937,TRUE,1794.419,0.509,,1794.419,0.509,0
Thu Feb  2 10:31:57 2017,33.375,-0.5,33.875,TRUE,1791.141,0.509,,1791.141,0.509,0
Thu Feb  2 10:31:59 2017,33.312,-0.5,33.812,TRUE,1787.809,0.51,,1787.809,0.51,0
Thu Feb  2 10:32:02 2017,33.312,-0.5,33.812,TRUE,1787.809,0.51,,1787.809,0.51,0
Thu Feb  2 10:32:05 2017,33.25,-0.5,33.75,TRUE,1784.531,0.51,,1784.531,0.51,0
Thu Feb  2 10:32:08 2017,33.187,-0.5,33.687,TRUE,1781.2,0.51,,1781.2,0.51,0
Thu Feb  2 10:32:10 2017,33.187,-0.5,33.687,TRUE,1781.2,0.511,,1781.2,0.511,0
Thu Feb  2 10:32:13 2017,33.187,-0.5,33.687,TRUE,1781.2,0.511,,1781.2,0.511,0
Thu Feb  2 10:32:16 2017,33.187,-0.562,33.749,TRUE,1784.478,0.511,,1784.478,0.511,0
Thu Feb  2 10:32:19 2017,33.125,-0.562,33.687,TRUE,1781.2,0.512,,1781.2,0.512,0
Thu Feb  2 10:32:22 2017,33.125,-0.562,33.687,TRUE,1781.2,0.512,,1781.2,0.512,0
Thu Feb  2 10:32:24 2017,33.125,-0.562,33.687,TRUE,1781.2,0.512,,1781.2,0.512,0
Thu Feb  2 10:32:27 2017,33.125,-0.562,33.687,TRUE,1781.2,0.512,,1781.2,0.512,0
Thu Feb  2 10:32:30 2017,33.125,-0.562,33.687,TRUE,1781.2,0.513,,1781.2,0.513,0
Thu Feb  2 10:32:33 2017,33.125,-0.562,33.687,TRUE,1781.2,0.513,,1781.2,0.513,0
Thu Feb  2 10:32:35 2017,33.125,-0.5,33.625,TRUE,1777.922,0.513,,1777.922,0.513,0
Thu Feb  2 10:32:38 2017,33.125,-0.5,33.625,TRUE,1777.922,0.514,,1777.922,0.514,0
Thu Feb  2 10:32:41 2017,33.187,-0.5,33.687,TRUE,1781.2,0.514,,1781.2,0.514,0
Thu Feb  2 10:32:44 2017,33.187,-0.5,33.687,TRUE,1781.2,0.514,,1781.2,0.514,0
Thu Feb  2 10:32:46 2017,33.187,-0.5,33.687,TRUE,1781.2,0.514,,1781.2,0.514,0
Thu Feb  2 10:32:49 2017,33.187,-0.5,33.687,TRUE,1781.2,0.515,,1781.2,0.515,0
Thu Feb  2 10:32:52 2017,33.187,-0.5,33.687,TRUE,1781.2,0.515,,1781.2,0.515,0
Thu Feb  2 10:32:55 2017,33.187,-0.5,33.687,TRUE,1781.2,0.515,,1781.2,0.515,0
Thu Feb  2 10:32:58 2017,33.25,-0.437,33.687,TRUE,1781.2,0.516,,1781.2,0.516,0
Thu Feb  2 10:33:00 2017,33.25,-0.437,33.687,TRUE,1781.2,0.516,,1781.2,0.516,0
Thu Feb  2 10:33:03 2017,33.25,-0.437,33.687,TRUE,1781.2,0.516,,1781.2,0.516,0
Thu Feb  2 10:33:06 2017,33.25,-0.437,33.687,TRUE,1781.2,0.517,,1781.2,0.517,0
Thu Feb  2 10:33:09 2017,33.312,-0.437,33.749,TRUE,1784.478,0.517,,1784.478,0.517,0
Thu Feb  2 10:33:11 2017,33.312,-0.437,33.749,TRUE,1784.478,0.517,,1784.478,0.517,0
Thu Feb  2 10:33:14 2017,33.312,-0.437,33.749,TRUE,1784.478,0.517,,1784.478,0.517,0
Thu Feb  2 10:33:17 2017,33.312,-0.437,33.749,TRUE,1784.478,0.518,,1784.478,0.518,0
Thu Feb  2 10:33:20 2017,33.312,-0.5,33.812,TRUE,1787.809,0.518,,1787.809,0.518,0
Thu Feb  2 10:33:23 2017,33.375,-0.437,33.812,TRUE,1787.809,0.518,,1787.809,0.518,0
Thu Feb  2 10:33:25 2017,33.312,-0.5,33.812,TRUE,1787.809,0.519,,1787.809,0.519,0
Thu Feb  2 10:33:28 2017,33.375,-0.5,33.875,TRUE,1791.141,0.519,,1791.141,0.519,0
Thu Feb  2 10:33:31 2017,33.375,-0.5,33.875,TRUE,1791.141,0.519,,1791.141,0.519,0
Thu Feb  2 10:33:34 2017,33.375,-0.5,33.875,TRUE,1791.141,0.52,,1791.141,0.52,0
Thu Feb  2 10:33:36 2017,33.437,-0.5,33.937,TRUE,1794.419,0.52,,1794.419,0.52,0
Thu Feb  2 10:33:39 2017,33.437,-0.5,33.937,TRUE,1794.419,0.52,,1794.419,0.52,0
Thu Feb  2 10:33:42 2017,33.437,-0.562,33.999,TRUE,1797.697,0.52,,1797.697,0.52,0
Thu Feb  2 10:33:45 2017,33.437,-0.5,33.937,TRUE,1794.419,0.521,,1794.419,0.521,0
Thu Feb  2 10:33:47 2017,33.5,-0.5,34,TRUE,1797.75,0.521,,1797.75,0.521,0
Thu Feb  2 10:33:50 2017,33.5,-0.5,34,TRUE,1797.75,0.521,,1797.75,0.521,0
Thu Feb  2 10:33:53 2017,33.5,-0.5,34,TRUE,1797.75,0.522,,1797.75,0.522,0
Thu Feb  2 10:33:56 2017,33.5,-0.5,34,TRUE,1797.75,0.522,,1797.75,0.522,0
Thu Feb  2 10:33:59 2017,33.5,-0.5,34,TRUE,1797.75,0.522,,1797.75,0.522,0
Thu Feb  2 10:34:01 2017,33.562,-0.5,34.062,TRUE,1801.028,0.522,,1801.028,0.522,0
Thu Feb  2 10:34:04 2017,33.562,-0.5,34.062,TRUE,1801.028,0.523,,1801.028,0.523,0
Thu Feb  2 10:34:07 2017,33.562,-0.5,34.062,TRUE,1801.028,0.523,,1801.028,0.523,0
Thu Feb  2 10:34:10 2017,33.562,-0.5,34.062,TRUE,1801.028,0.523,,1801.028,0.523,0
Thu Feb  2 10:34:12 2017,33.562,-0.562,34.124,TRUE,1804.306,0.524,,1804.306,0.524,0
Thu Feb  2 10:34:15 2017,33.625,-0.562,34.187,TRUE,1807.638,0.524,,1807.638,0.524,0
Thu Feb  2 10:34:18 2017,33.625,-0.562,34.187,TRUE,1807.638,0.524,,1807.638,0.524,0
Thu Feb  2 10:34:21 2017,33.625,-0.5,34.125,TRUE,1804.359,0.525,,1804.359,0.525,0
Thu Feb  2 10:34:24 2017,33.625,-0.562,34.187,TRUE,1807.638,0.525,,1807.638,0.525,0
Thu Feb  2 10:34:26 2017,33.625,-0.5,34.125,TRUE,1804.359,0.525,,1804.359,0.525,0
Thu Feb  2 10:34:29 2017,33.625,-0.5,34.125,TRUE,1804.359,0.525,,1804.359,0.525,0
Thu Feb  2 10:34:32 2017,33.687,-0.5,34.187,TRUE,1807.638,0.526,,1807.638,0.526,0
Thu Feb  2 10:34:35 2017,33.687,-0.5,34.187,TRUE,1807.638,0.526,,1807.638,0.526,0
Thu Feb  2 10:34:37 2017,33.687,-0.5,34.187,TRUE,1807.638,0.526,,1807.638,0.526,0
Thu Feb  2 10:34:40 2017,33.687,-0.562,34.249,TRUE,1810.916,0.527,,1810.916,0.527,0
Thu Feb  2 10:34:43 2017,33.687,-0.5,34.187,TRUE,1807.638,0.527,,1807.638,0.527,0
Thu Feb  2 10:34:46 2017,33.687,-0.562,34.249,TRUE,1810.916,0.527,,1810.916,0.527,0
Thu Feb  2 10:34:48 2017,33.75,-0.5,34.25,TRUE,1810.969,0.528,,1810.969,0.528,0
Thu Feb  2 10:34:51 2017,33.75,-0.562,34.312,TRUE,1814.247,0.528,,1814.247,0.528,0
Thu Feb  2 10:34:54 2017,33.75,-0.562,34.312,TRUE,1814.247,0.528,,1814.247,0.528,0
Thu Feb  2 10:34:57 2017,33.75,-0.562,34.312,TRUE,1814.247,0.528,,1814.247,0.528,0
Thu Feb  2 10:35:00 2017,33.75,-0.562,34.312,TRUE,1814.247,0.529,,1814.247,0.529,0
Thu Feb  2 10:35:02 2017,33.812,-0.562,34.374,TRUE,1817.525,0.529,,1817.525,0.529,0
Thu Feb  2 10:35:05 2017,33.812,-0.625,34.437,TRUE,1820.856,0.529,,1820.856,0.529,0
Thu Feb  2 10:35:08 2017,33.812,-0.625,34.437,TRUE,1820.856,0.53,,1820.856,0.53,0
Thu Feb  2 10:35:11 2017,33.812,-0.625,34.437,TRUE,1820.856,0.53,,1820.856,0.53,0
Thu Feb  2 10:35:13 2017,33.812,-0.625,34.437,TRUE,1820.856,0.53,,1820.856,0.53,0
Thu Feb  2 10:35:16 2017,33.812,-0.562,34.374,TRUE,1817.525,0.531,,1817.525,0.531,0
Thu Feb  2 10:35:19 2017,33.875,-0.562,34.437,TRUE,1820.856,0.531,,1820.856,0.531,0
Thu Feb  2 10:35:22 2017,33.875,-0.562,34.437,TRUE,1820.856,0.531,,1820.856,0.531,0
Thu Feb  2 10:35:24 2017,33.875,-0.562,34.437,TRUE,1820.856,0.531,,1820.856,0.531,0
Thu Feb  2 10:35:27 2017,33.875,-0.562,34.437,TRUE,1820.856,0.532,,1820.856,0.532,0
Thu Feb  2 10:35:30 2017,33.937,-0.562,34.499,TRUE,1824.135,0.532,,1824.135,0.532,0
Thu Feb  2 10:35:33 2017,33.937,-0.562,34.499,TRUE,1824.135,0.532,,1824.135,0.532,0
Thu Feb  2 10:35:36 2017,33.937,-0.5,34.437,TRUE,1820.856,0.533,,1820.856,0.533,0
Thu Feb  2 10:35:38 2017,33.937,-0.562,34.499,TRUE,1824.135,0.533,,1824.135,0.533,0
Thu Feb  2 10:35:41 2017,33.937,-0.5,34.437,TRUE,1820.856,0.533,,1820.856,0.533,0
Thu Feb  2 10:35:44 2017,33.937,-0.5,34.437,TRUE,1820.856,0.534,,1820.856,0.534,0
Thu Feb  2 10:35:47 2017,33.937,-0.5,34.437,TRUE,1820.856,0.534,,1820.856,0.534,0
Thu Feb  2 10:35:49 2017,34,-0.5,34.5,TRUE,1824.188,0.534,,1824.188,0.534,0
Thu Feb  2 10:35:52 2017,34,-0.5,34.5,TRUE,1824.188,0.535,,1824.188,0.535,0
Thu Feb  2 10:35:55 2017,34,-0.5,34.5,TRUE,1824.188,0.535,,1824.188,0.535,0
Thu Feb  2 10:35:58 2017,34,-0.5,34.5,TRUE,1824.188,0.535,,1824.188,0.535,0
Thu Feb  2 10:36:00 2017,34.062,-0.5,34.562,TRUE,1827.466,0.535,,1827.466,0.535,0
Thu Feb  2 10:36:03 2017,34.062,-0.5,34.562,TRUE,1827.466,0.536,,1827.466,0.536,0
Thu Feb  2 10:36:06 2017,34.062,-0.437,34.499,TRUE,1824.135,0.536,,1824.135,0.536,0
Thu Feb  2 10:36:09 2017,34.062,-0.437,34.499,TRUE,1824.135,0.536,,1824.135,0.536,0
Thu Feb  2 10:36:12 2017,34.062,-0.437,34.499,TRUE,1824.135,0.537,,1824.135,0.537,0
Thu Feb  2 10:36:14 2017,34.062,-0.437,34.499,TRUE,1824.135,0.537,,1824.135,0.537,0
Thu Feb  2 10:36:17 2017,34.125,-0.437,34.562,TRUE,1827.466,0.537,,1827.466,0.537,0
Thu Feb  2 10:36:20 2017,34.125,-0.437,34.562,TRUE,1827.466,0.538,,1827.466,0.538,0
Thu Feb  2 10:36:23 2017,34.125,-0.437,34.562,TRUE,1827.466,0.538,,1827.466,0.538,0
Thu Feb  2 10:36:25 2017,34.125,-0.437,34.562,TRUE,1827.466,0.538,,1827.466,0.538,0
Thu Feb  2 10:36:28 2017,34.125,-0.5,34.625,TRUE,1830.797,0.538,,1830.797,0.538,0
Thu Feb  2 10:36:31 2017,34.187,-0.5,34.687,TRUE,1834.075,0.539,,1834.075,0.539,0
Thu Feb  2 10:36:34 2017,34.187,-0.5,34.687,TRUE,1834.075,0.539,,1834.075,0.539,0
Thu Feb  2 10:36:37 2017,34.187,-0.5,34.687,TRUE,1834.075,0.539,,1834.075,0.539,0
Thu Feb  2 10:36:39 2017,34.187,-0.5,34.687,TRUE,1834.075,0.54,,1834.075,0.54,0
Thu Feb  2 10:36:42 2017,34.187,-0.5,34.687,TRUE,1834.075,0.54,,1834.075,0.54,0
Thu Feb  2 10:36:45 2017,34.187,-0.5,34.687,TRUE,1834.075,0.54,,1834.075,0.54,0
Thu Feb  2 10:36:48 2017,34.187,-0.5,34.687,TRUE,1834.075,0.541,,1834.075,0.541,0
Thu Feb  2 10:36:50 2017,34.187,-0.5,34.687,TRUE,1834.075,0.545,,1834.075,0.545,0
Thu Feb  2 10:36:53 2017,34.187,-0.5,34.687,TRUE,1834.075,0.545,,1834.075,0.545,0
Thu Feb  2 10:36:56 2017,34.125,-0.5,34.625,TRUE,1830.797,0.545,,1830.797,0.545,0
Thu Feb  2 10:36:59 2017,34.125,-0.5,34.625,TRUE,1830.797,0.546,,1830.797,0.546,0
Thu Feb  2 10:37:02 2017,34,-0.5,34.5,TRUE,1824.188,0.546,,1824.188,0.546,0
Thu Feb  2 10:37:04 2017,33.937,-0.437,34.374,TRUE,1817.525,0.546,,1817.525,0.546,0
Thu Feb  2 10:37:07 2017,33.812,-0.5,34.312,TRUE,1814.247,0.547,,1814.247,0.547,0
Thu Feb  2 10:37:10 2017,33.812,-0.5,34.312,TRUE,1814.247,0.547,,1814.247,0.547,0
Thu Feb  2 10:37:13 2017,33.687,-0.437,34.124,TRUE,1804.306,0.547,,1804.306,0.547,0
Thu Feb  2 10:37:15 2017,33.625,-0.5,34.125,TRUE,1804.359,0.547,,1804.359,0.547,0
Thu Feb  2 10:37:18 2017,33.625,-0.5,34.125,TRUE,1804.359,0.548,,1804.359,0.548,0
